	A_1_A	A_2_A	A_3_A	A_4_A	A_5_A	A_6_A	A4_1_A	A4_2_A	A4_3_A	A4_4_A	A4_5_A	A4_6_A	A6_1_A	A6_2_A	A6_3_A	A6_4_A	A6_5_A	A6_6_A	AM_1_A	AM_2_A	AM_3_A	AM_4_A	AM_5_A	AM_6_A	W_1_A	W_2_A	W_3_A	W_4_A	W_5_A	W_6_A
OTU_14580	1085	1011	51	93	1930	206	2573	572	456	2212	464	32785	1019	1040	1343	1169	1319	1377	1268	3228	2390	2307	1434	1216	325	332	244	1409	949	3525
OTU_11774	5359	828	11162	1481	12393	19099	205	38	17	63	40	18	1385	1404	384	738	826	744	65	31	30	19	31	71	7223	1090	2024	2742	927	923
OTU_7925	2095	3226	4554	5065	3852	2787	1542	1746	1702	1359	321	2201	497	851	623	699	793	748	668	1335	1604	221	739	1358	1918	5473	3942	4946	8156	5459
OTU_10880	3169	5344	1632	3950	433	1622	2911	3619	3245	3683	3530	2473	2353	2527	2113	2346	2078	2172	2077	2202	2198	2545	2007	2103	143	442	1089	702	390	524
OTU_8072	1459	1919	5346	4124	3625	2980	1206	1364	1055	796	116	1673	352	429	410	329	586	392	432	710	921	77	409	730	515	6729	6671	8514	8526	7224
OTU_14512	268	147	355	208	213	232	2767	1298	1427	1309	1374	6422	2688	2734	3764	3203	3559	3600	3343	2950	3623	3087	3515	3078	4237	317	274	350	378	2963
OTU_3434	3124	4210	7816	1570	3537	3207	827	696	461	295	70	858	94	113	116	91	141	192	77	278	459	31	149	241	4014	4132	7248	14980	6703	3196
OTU_1532	2139	6906	808	461	3330	626	1379	1072	1498	890	2469	1586	1687	1002	830	1393	828	835	3639	2927	906	10512	3415	5961	1810	421	437	412	883	996
OTU_3492	39	1313	108	17	46	95	21	11	7	7	2	13	0	12	1	0	6	3	6	4306	18	321	430	98	52	7267	88	193	27099	24553
OTU_14534	187	10	10	22	21	269	1912	1329	1454	1295	1478	1402	3484	3723	4938	4178	4747	4828	4341	3239	4220	1788	4573	3919	16	32	295	20	27	41
OTU_14531	178	3	4	14	9	248	1900	1383	1548	1237	1606	1032	3472	3618	4875	4189	4681	4737	4184	3188	4350	1758	4464	3901	3	8	264	5	13	17
OTU_10458	6781	5939	3457	9118	11674	4712	84	165	256	103	76	80	596	230	111	146	325	393	522	778	393	218	312	293	3462	1863	2212	1987	2357	2184
OTU_9333	2029	2889	3527	2585	2593	2294	547	1200	1129	694	264	1299	448	609	452	512	369	515	686	995	738	192	685	849	962	10540	6330	5410	5613	3400
OTU_3524	3091	4058	8197	1261	3358	3090	324	303	188	159	63	272	80	58	53	46	98	73	51	123	142	15	100	145	3327	2448	7134	14895	5264	2098
OTU_11475	6534	5942	4882	6505	6579	9753	577	429	496	479	365	141	94	107	74	106	112	49	169	169	201	49	53	54	1982	3266	1905	3770	2614	1617
OTU_65	1931	2242	3863	3773	1045	2274	622	766	663	643	264	1062	580	499	552	596	568	717	754	891	1003	395	820	873	1670	6063	5559	3230	5931	7742
OTU_14565	175	8	4	19	17	261	757	477	518	414	495	900	3498	3663	4901	4131	4912	4772	4244	3105	4218	1753	4485	3710	11	145	278	7	20	25
OTU_8277	7991	4814	39	79	554	1854	6	11	3	8	15	23	297	30	2	4	513	4	8	456	10	0	117	172	2730	4477	1827	19076	9179	4123
OTU_1308	10478	1407	88	32	1182	1832	1086	425	544	495	1428	1171	7010	1270	2321	2272	2143	1215	23	201	38	9266	1488	829	4041	60	1178	80	56	137
OTU_3439	2863	3813	7128	1274	3115	2829	327	306	207	153	68	283	76	52	56	47	100	72	45	128	142	19	90	157	3463	2577	6340	13425	4985	2126
OTU_11786	1472	885	8852	1654	10639	16825	180	58	30	82	56	9	1157	1196	268	598	658	584	25	5	4	1	2	24	3793	593	2191	2412	284	989
OTU_10485	6172	5347	3193	8187	10605	4228	59	136	225	70	78	48	549	214	95	129	269	358	445	666	367	217	296	250	3121	1556	1979	1761	2097	1912
