	A_1_A	A_2_A	A_3_A	A_4_A	A_5_A	A_6_A	A4_1_A	A4_2_A	A4_3_A	A4_4_A	A4_5_A	A4_6_A	A6_1_A	A6_2_A	A6_3_A	A6_4_A	A6_5_A	A6_6_A	AM_1_A	AM_2_A	AM_3_A	AM_4_A	AM_5_A	AM_6_A	W_1_A	W_2_A	W_3_A	W_4_A	W_5_A	W_6_A
OTU_10150	6	16	24	17	25	11	9	1	9	7	0	19	0	4	1	1	3	11	0	24	25	20	4	4	14	32	28	24	48	24
OTU_11094	86	110	20	49	28	14	0	3	0	2	1	5	4	0	0	0	5	1	1	30	12	0	8	5	6	3	3	5	1	2
OTU_8378	34	18	27	30	45	28	1	1	2	1	1	4	6	1	1	2	1	1	4	3	4	1	2	6	35	25	28	27	43	33
OTU_8366	10	8	19	9	9	13	8	12	6	5	6	12	11	2	2	4	4	4	6	11	8	7	5	7	22	62	30	20	60	20
OTU_9297	6	17	18	40	20	10	11	11	10	8	0	12	1	5	3	4	6	3	1	8	13	0	5	10	1	29	22	29	69	33
OTU_11471	27	26	22	30	30	41	17	15	19	22	21	19	0	0	0	0	0	0	1	1	0	0	1	2	11	26	14	21	21	11
OTU_1484	4	1	0	0	0	0	35	23	40	20	49	33	3	0	2	1	1	0	5	16	2	123	15	8	2	0	2	0	0	0
OTU_8411	31	12	33	23	10	12	3	3	4	3	3	10	4	2	0	1	5	2	3	6	4	0	4	4	46	32	71	19	40	26
OTU_1599	9	27	13	3	31	5	9	8	13	7	14	7	9	6	5	8	4	4	19	12	6	54	13	27	31	12	6	6	19	12
OTU_11486	48	33	48	42	42	58	2	3	5	4	4	1	0	0	0	0	0	0	0	0	1	0	0	0	26	19	12	28	14	13
OTU_11790	31	18	52	26	72	102	1	1	1	1	0	0	5	6	1	2	2	3	0	0	0	0	0	0	32	11	14	15	2	14
OTU_8965	33	9	64	12	15	15	5	2	4	3	5	2	7	0	0	2	1	1	2	2	3	2	1	2	49	89	7	12	45	24
OTU_10789	29	28	35	54	44	50	5	2	0	0	0	9	1	0	1	0	3	7	6	16	2	6	0	7	12	30	11	21	23	13
OTU_14159	0	0	85	0	94	148	0	0	0	0	0	0	9	8	2	3	3	6	0	0	0	0	0	0	27	3	10	13	0	0
OTU_9341	16	24	20	35	20	19	4	8	6	4	0	5	3	1	4	1	2	5	3	2	3	0	3	4	26	30	45	37	40	27
OTU_13455	23	16	0	53	42	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	157	71
OTU_10138	17	23	27	34	35	17	4	6	7	7	2	5	2	2	1	2	4	4	4	6	14	2	4	2	17	26	26	29	48	27
OTU_10733	28	33	28	42	73	32	1	3	4	3	2	3	2	3	1	1	2	2	4	9	1	2	1	3	26	21	16	16	24	20
OTU_10542	41	6	5	15	43	7	5	5	4	3	2	5	2	1	1	1	2	2	3	4	3	2	4	2	125	58	6	34	13	12
OTU_13647	14	25	12	44	15	12	1	1	0	2	0	29	0	0	1	3	0	2	0	5	4	0	0	2	23	59	26	30	63	44
OTU_1585	9	5	9	1	7	5	15	11	23	8	31	31	16	12	3	8	8	8	18	17	5	56	14	22	6	2	4	3	7	5
OTU_10397	23	22	17	25	21	20	4	5	3	6	0	5	2	3	1	1	3	3	1	2	7	0	5	0	64	79	13	22	23	31
OTU_14816	0	21	0	0	87	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	100	29	10	142	21
OTU_5479	5	4	7	19	3	7	14	15	14	22	16	12	1	1	0	1	0	1	2	3	2	4	1	2	7	157	16	10	27	29
OTU_28	9	8	10	0	1	8	13	3	4	3	0	31	0	0	0	0	1	1	8	2	3	3	4	5	8	51	13	11	11	190
OTU_3505	11	20	15	15	22	18	9	6	4	3	0	14	1	4	1	1	2	1	1	1	3	0	1	2	36	35	31	67	51	30
OTU_10732	29	24	18	33	45	20	6	5	12	17	21	20	4	2	2	1	4	3	2	5	4	0	4	3	24	20	28	11	13	20
OTU_62	14	16	11	20	17	20	6	7	7	4	1	11	0	0	0	0	0	1	0	1	3	0	2	0	4	221	10	13	16	12
OTU_1657	7	29	7	3	26	9	12	16	16	6	14	23	9	6	5	9	4	7	16	18	2	45	13	27	13	7	5	1	10	14
OTU_11075	16	20	18	20	24	29	9	5	15	6	3	12	5	4	3	3	9	8	3	9	18	1	3	6	17	27	25	29	17	28
OTU_10548	28	23	21	33	43	15	1	4	4	2	2	2	6	3	4	2	2	3	2	8	1	1	1	1	60	37	41	19	11	18
OTU_12465	12	5	6	8	4	12	3	161	0	1	1	69	0	0	0	0	0	0	0	2	0	0	1	0	15	38	8	5	21	11
OTU_10414	31	23	23	33	51	26	0	2	2	1	0	1	3	18	2	2	3	1	2	3	3	1	1	1	30	65	15	12	20	26
OTU_11715	24	19	25	35	18	28	7	11	6	10	3	18	1	1	0	1	3	0	2	7	3	4	0	2	58	26	44	15	17	5
OTU_7995	14	17	21	24	32	15	16	2	3	9	4	12	3	5	2	3	2	2	2	5	4	1	2	2	16	43	23	37	33	45
OTU_11633	20	20	24	17	25	21	4	5	2	4	2	3	0	1	1	1	0	0	1	2	4	0	0	1	16	95	15	23	60	29
OTU_8480	15	27	36	22	23	23	7	7	4	3	1	7	4	5	3	2	4	2	5	4	7	1	4	4	5	26	37	40	42	29
OTU_938	22	5	5	19	6	1	5	2	3	1	23	25	12	4	3	4	1	3	4	3	3	26	5	6	176	1	0	7	3	7
OTU_11845	13	12	10	14	14	21	13	17	16	15	16	14	12	14	13	10	10	11	11	12	12	12	14	11	5	5	9	11	7	7
OTU_8350	25	17	13	22	24	19	8	10	4	4	10	13	12	4	3	6	6	8	10	9	15	5	9	15	24	19	16	13	24	20
OTU_4575	8	21	25	12	20	18	5	4	3	2	0	4	1	1	0	1	0	2	0	5	1	0	1	1	29	42	32	70	56	36
OTU_10854	40	31	27	30	46	45	2	1	1	0	0	19	1	2	1	0	6	10	1	39	14	1	2	3	10	11	10	16	13	7
OTU_9314	9	22	19	11	14	17	3	8	9	4	2	8	2	6	1	5	8	5	3	9	13	3	3	6	5	44	36	68	28	20
OTU_11487	18	30	16	24	23	31	14	3	7	4	2	6	1	2	1	0	1	1	2	4	2	1	0	0	16	111	8	17	41	9
OTU_7871	17	17	22	55	6	10	2	3	4	4	0	2	2	0	0	3	1	1	1	8	1	0	2	1	7	55	54	12	45	54
OTU_10690	41	22	19	44	46	31	13	7	10	11	3	17	1	4	0	0	3	4	0	10	2	1	3	1	10	14	18	8	22	13
OTU_3451	1	9	8	21	4	9	27	19	9	8	0	26	1	5	4	4	2	7	2	7	4	0	1	3	4	45	17	32	59	46
OTU_1543	3	0	4	0	0	1	9	12	20	8	25	20	38	19	36	23	17	22	6	8	2	32	6	11	37	0	1	0	0	0
OTU_11170	15	171	3	17	8	16	7	23	18	23	5	13	1	0	1	0	0	0	0	9	2	0	1	2	8	19	2	5	6	2
OTU_2274	15	10	7	4	6	12	2	1	3	3	6	10	47	17	23	33	15	22	4	3	2	40	5	8	43	8	4	5	5	7
OTU_8507	7	10	6	13	7	8	25	18	15	13	1	22	4	5	7	5	1	5	3	13	8	1	4	3	9	42	25	23	42	34
OTU_7884	29	33	25	40	26	39	2	2	0	1	0	0	1	0	0	0	0	1	0	1	2	0	0	1	11	75	23	25	25	33
OTU_8353	6	8	24	7	12	15	6	19	4	5	14	20	6	4	1	3	5	2	4	13	4	7	12	11	13	57	24	10	36	26
OTU_3442	9	11	9	13	12	11	30	25	12	5	0	16	1	4	4	2	3	5	1	6	6	0	1	4	21	37	18	41	41	33
OTU_8978	23	16	25	10	18	15	3	7	4	3	2	5	5	2	2	2	1	1	2	7	3	2	3	2	55	41	27	37	33	37
OTU_8242	6	13	22	28	16	9	10	11	7	7	2	16	5	5	4	4	4	4	3	5	9	2	3	11	4	40	23	33	40	40
OTU_13466	22	27	24	44	25	33	3	2	3	1	2	3	2	1	0	1	0	0	0	2	3	0	0	0	9	62	19	33	38	35
OTU_14574	1	4	4	10	6	2	41	33	35	28	25	105	2	0	2	0	1	0	1	4	2	5	3	1	2	12	5	11	12	16
OTU_11545	25	20	24	49	45	29	11	20	12	12	18	5	0	0	0	0	0	0	0	1	0	0	1	1	4	21	24	22	20	22
OTU_8670	15	9	25	16	13	18	3	3	3	9	3	1	0	0	1	0	1	1	1	5	2	2	3	1	94	41	24	26	36	35
OTU_9322	15	18	19	22	24	29	9	5	5	3	4	13	2	2	5	2	1	7	1	7	7	9	6	10	10	27	23	37	32	30
OTU_10492	25	38	42	36	48	19	1	3	4	2	2	5	6	3	2	3	2	2	1	4	3	4	2	4	23	28	7	14	44	14
OTU_8375	7	8	29	3	22	13	14	19	6	11	15	28	13	6	3	3	7	5	8	24	15	9	13	13	10	22	7	13	22	12
OTU_13275	5	9	8	6	2	2	4	5	4	3	35	36	5	1	1	5	1	1	3	0	1	30	1	4	86	51	1	9	44	5
OTU_8286	16	26	32	6	22	17	1	1	2	0	0	0	2	1	0	1	4	0	2	2	0	0	1	1	14	42	39	82	51	25
OTU_11628	30	22	9	52	37	32	8	6	4	4	3	2	1	3	2	1	1	1	4	3	6	1	3	1	8	83	2	7	47	5
OTU_11542	13	16	46	61	64	6	3	3	3	3	2	1	0	0	1	0	1	1	0	3	0	0	0	0	3	26	15	22	35	57
OTU_1116	5	4	0	2	2	1	6	3	5	4	32	34	36	11	16	22	15	13	8	4	2	51	7	12	44	7	5	3	3	2
OTU_12017	21	6	10	33	29	26	1	0	0	1	0	6	0	0	0	0	0	0	0	2	2	0	0	0	2	17	63	20	95	60
OTU_3474	7	3	6	7	9	4	69	53	22	14	1	28	0	2	5	5	1	11	1	13	4	0	1	6	14	23	11	23	22	9
OTU_6826	0	0	74	0	78	148	0	0	0	0	0	0	7	4	2	10	4	8	0	0	0	0	0	0	26	2	7	8	0	0
OTU_11155	50	24	16	60	20	43	1	8	8	5	1	4	2	1	2	5	2	2	1	1	0	0	0	0	52	31	5	6	25	6
OTU_3504	13	17	31	6	14	11	8	7	3	5	0	8	1	2	2	2	1	3	0	1	4	0	0	1	11	86	33	57	50	15
OTU_11504	14	12	46	64	68	3	13	5	7	6	7	5	0	0	0	0	0	0	0	0	0	0	0	0	3	39	20	19	19	40
OTU_10627	41	34	22	51	68	28	3	1	2	1	2	5	3	1	2	3	2	4	4	8	5	1	4	4	19	14	12	12	16	16
OTU_8337	27	23	31	22	22	24	0	0	1	1	0	1	1	1	0	2	3	0	4	0	2	1	1	2	58	24	48	21	33	35
OTU_11567	33	25	24	34	34	49	2	1	3	5	0	2	1	0	1	0	2	1	1	4	1	0	0	0	12	85	8	18	35	8
OTU_14876	17	22	46	11	16	15	3	2	6	2	0	4	0	1	0	1	2	1	0	2	6	0	1	1	19	26	45	76	41	22
OTU_8394	11	14	12	6	19	16	5	5	4	5	4	6	5	2	3	4	2	2	9	7	7	2	6	6	56	66	13	11	51	22
OTU_3681	15	6	14	34	9	17	4	2	1	0	1	5	0	0	1	0	0	0	0	3	3	0	0	2	24	39	16	36	50	109
OTU_10051	9	15	25	47	24	11	17	3	4	3	2	8	2	1	1	2	2	3	1	6	9	1	3	2	12	34	22	36	39	40
OTU_10520	15	23	28	31	42	21	0	0	2	0	0	1	1	0	1	0	1	1	1	2	1	0	0	0	21	47	15	32	66	30
OTU_3466	7	7	14	10	4	7	48	52	22	12	1	40	0	7	6	5	1	8	1	15	3	0	1	6	4	3	15	28	20	20
OTU_10524	33	18	18	22	49	26	4	6	2	0	1	10	4	3	1	2	5	2	9	6	5	5	4	9	23	36	20	18	17	20
OTU_10792	22	17	22	19	24	26	24	12	10	10	11	14	3	1	1	1	3	3	3	5	9	1	1	5	23	28	18	19	18	24
OTU_3454	16	24	30	19	16	17	10	5	10	4	0	5	1	1	1	1	1	1	1	2	1	0	1	2	20	14	41	72	41	30
OTU_10443	28	25	25	47	51	21	1	4	2	2	0	3	1	3	1	2	2	3	5	9	4	2	2	3	30	28	17	17	23	19
OTU_1284	16	2	0	0	3	3	3	1	3	1	7	5	43	18	25	45	18	28	4	2	1	41	4	7	51	3	1	4	2	2
OTU_10170	9	24	38	27	26	19	3	5	8	6	0	6	1	3	2	1	1	5	0	8	13	0	2	3	4	27	27	36	32	45
OTU_14790	28	21	20	31	49	20	3	3	3	3	1	13	2	1	1	2	4	1	3	6	7	1	5	3	14	13	21	36	48	25
OTU_14510	13	4	8	11	4	2	49	14	33	21	11	66	0	0	0	0	1	1	0	2	2	3	36	0	13	17	5	16	15	7
OTU_1277	10	2	5	1	4	2	10	4	8	5	11	14	25	15	14	25	13	14	9	8	5	64	14	22	31	3	5	3	1	5
OTU_4473	23	29	66	4	16	18	3	1	1	1	0	5	0	0	0	1	0	0	0	1	1	0	0	0	1	9	55	96	34	14
OTU_10470	30	34	18	39	59	23	1	3	4	2	2	1	4	6	1	1	0	2	3	6	4	1	2	2	38	34	11	10	19	19
OTU_10115	23	17	30	21	45	17	4	8	4	3	1	2	0	1	1	2	3	1	2	6	5	1	2	2	11	25	30	33	52	28
OTU_8814	23	18	18	12	6	17	2	4	6	2	5	2	2	1	0	0	1	5	1	2	3	1	2	4	86	34	32	26	27	44
OTU_12131	35	34	26	42	34	56	10	12	11	12	12	3	0	0	0	0	0	0	0	0	0	1	0	0	12	9	15	31	12	10
OTU_1793	17	19	4	4	7	5	11	8	12	20	47	26	18	3	4	5	3	5	7	6	3	31	5	13	29	20	4	9	12	8
OTU_3580	12	22	33	7	19	14	2	3	1	0	1	3	0	1	0	0	0	1	0	6	1	2	2	1	17	23	28	60	66	58
OTU_9973	9	10	13	33	13	7	61	0	4	4	1	34	6	3	1	1	2	7	1	4	2	6	2	5	7	28	16	26	32	26
OTU_8678	36	18	14	10	30	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	26	10	44	65	31	80
OTU_11867	36	34	26	35	34	61	10	9	10	11	9	3	0	1	1	1	1	0	1	1	2	1	0	1	12	14	11	18	18	10
OTU_1310	26	2	5	1	11	6	12	4	4	3	13	35	20	5	7	13	7	8	11	11	2	57	12	18	19	5	4	6	9	12
OTU_11435	13	16	15	19	10	12	2	2	1	2	1	4	3	2	1	3	2	2	1	4	4	4	3	1	10	151	5	11	65	8
OTU_7635	8	15	40	21	18	23	1	0	1	0	0	3	2	1	0	0	2	0	0	1	1	0	0	0	3	44	44	50	67	38
OTU_8968	27	14	19	11	12	16	8	3	10	4	2	14	5	2	1	2	3	0	4	5	6	1	3	4	90	22	20	14	23	24
OTU_10989	27	21	19	39	18	25	8	7	8	13	8	2	0	0	3	1	2	1	0	0	0	0	0	0	46	38	14	17	24	27
OTU_10399	32	22	22	39	60	24	5	1	3	1	1	3	5	15	1	3	1	5	3	4	2	1	3	3	30	31	13	10	17	18
OTU_10461	38	40	19	60	40	18	1	6	1	0	0	4	5	0	0	0	2	2	4	5	5	1	2	4	21	28	11	9	26	22
OTU_2075	7	4	0	4	3	2	4	2	1	1	4	11	39	2	2	4	5	2	42	17	7	90	38	24	14	3	1	2	9	2
OTU_9030	4	8	22	13	8	7	17	21	14	12	6	36	8	6	4	6	5	16	14	16	17	7	9	7	7	9	7	19	11	14
OTU_8355	33	15	21	20	23	25	0	0	0	0	0	2	1	1	0	2	1	1	3	1	0	2	1	0	84	22	33	23	29	32
OTU_1553	7	0	8	1	0	3	9	11	12	5	21	16	24	16	9	19	13	8	23	22	5	63	13	28	16	1	1	1	0	2
OTU_11021	21	14	34	8	41	18	2	10	3	13	3	2	4	1	1	1	2	3	6	4	7	4	6	9	36	23	10	16	36	28
OTU_13473	21	18	29	27	21	28	5	2	2	4	2	5	1	0	2	1	2	2	1	8	3	1	1	2	40	24	33	15	45	32
OTU_10636	34	30	23	48	64	25	3	4	2	2	3	4	6	13	2	3	3	3	4	6	1	1	2	4	18	10	16	13	11	11
OTU_4570	19	26	39	12	18	18	2	4	0	1	0	3	1	1	0	0	1	1	0	1	2	0	0	1	19	29	40	78	40	18
OTU_10934	49	22	8	72	14	43	2	8	6	8	2	3	4	2	1	2	1	4	0	0	0	0	0	0	62	24	8	3	17	2
OTU_1596	9	3	9	1	2	5	13	13	20	9	30	20	25	15	8	15	12	14	17	8	4	37	12	14	12	0	1	1	0	1
OTU_9103	19	24	19	26	25	31	4	1	0	3	2	8	2	4	2	2	0	2	4	13	5	2	8	9	15	18	11	22	57	32
OTU_8820	10	18	11	9	12	11	13	8	5	5	4	31	3	8	5	5	0	6	6	15	8	2	14	12	35	30	22	22	15	19
OTU_10671	37	33	18	35	43	20	3	2	2	2	1	11	3	2	2	0	4	2	10	10	8	4	5	4	27	12	20	14	10	19
OTU_10825	7	1	0	0	4	1	1	2	0	1	0	170	4	3	1	2	16	24	1	62	16	4	5	8	2	7	2	0	3	1
OTU_3692	22	10	13	72	16	10	0	1	1	2	0	5	0	1	0	0	0	0	0	2	2	0	0	1	4	9	4	5	29	155
OTU_11400	45	39	31	48	51	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	9	15	27	17	11
OTU_8660	33	1	12	0	62	40	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	9	1	1	48	11	5	27	2	116
OTU_10794	11	11	32	13	26	9	1	1	0	0	0	2	1	1	0	0	0	3	0	5	8	0	0	2	30	55	33	36	23	66
OTU_11222	11	4	2	9	5	8	19	38	34	46	12	29	27	5	6	6	6	5	5	10	2	2	2	6	9	17	5	3	6	7
OTU_9009	3	2	10	10	9	6	25	33	19	20	5	36	9	5	8	7	6	4	8	14	9	1	8	14	4	14	11	15	15	16
OTU_8441	7	5	26	7	14	11	8	15	7	7	12	13	33	4	3	3	3	3	8	18	8	4	9	6	21	24	17	32	15	11
OTU_3461	10	12	13	24	11	13	9	10	4	3	0	3	1	1	1	1	1	2	0	1	2	0	0	2	23	50	24	50	58	40
OTU_10368	27	17	11	40	27	17	2	6	3	1	0	3	3	5	1	2	2	2	3	6	3	1	1	3	51	33	33	26	18	20
OTU_10153	9	12	25	24	20	13	8	7	10	11	1	7	0	3	1	4	4	6	1	8	12	2	2	6	10	39	24	25	50	21
OTU_10181	7	17	27	27	21	16	3	6	11	8	3	10	0	2	2	2	5	7	2	6	15	1	3	5	2	31	22	29	29	39
OTU_10186	9	18	27	23	28	15	3	3	8	4	3	11	1	0	2	3	3	2	3	4	11	1	3	1	5	28	28	34	43	32
OTU_14446	11	10	60	16	57	70	4	2	1	1	0	1	7	5	0	2	1	6	0	1	1	0	0	1	21	24	17	24	11	9
OTU_2046	24	8	1	4	6	6	4	4	5	3	21	19	69	6	4	15	6	2	8	9	3	29	10	7	35	7	4	14	5	10
OTU_10777	38	40	32	43	44	64	3	2	1	2	3	1	1	1	1	1	0	0	1	1	1	3	1	1	13	8	9	21	14	13
OTU_11404	35	40	37	42	41	57	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	13	20	12	29	17	14
OTU_13645	20	32	13	30	19	26	2	0	1	1	0	1	0	0	2	10	0	1	0	9	9	0	0	4	7	48	25	26	46	27
OTU_2059	16	4	0	1	2	4	15	1	1	3	4	12	53	4	7	10	3	3	27	13	3	69	32	23	20	2	1	7	1	4
OTU_4504	14	17	29	9	18	14	11	10	7	5	0	13	0	2	1	0	3	2	0	3	4	0	1	2	18	25	35	50	39	29
OTU_10851	2	1	3	2	3	5	13	12	10	13	4	27	1	6	5	3	8	12	10	62	9	3	4	32	14	10	15	1	11	31
OTU_11103	33	7	3	3	54	13	1	3	6	1	0	7	1	0	0	0	11	0	9	119	15	4	14	27	1	0	1	1	1	0
OTU_4539	8	21	20	5	15	9	10	3	2	4	0	4	0	1	2	3	1	2	1	1	9	0	0	2	15	112	19	37	46	8
OTU_4627	13	20	36	6	13	16	13	8	5	3	0	18	0	3	1	2	1	1	1	3	6	0	1	1	12	33	31	64	29	13
OTU_11602	11	20	14	20	18	26	6	4	4	4	3	3	0	0	1	1	1	1	1	2	4	0	1	1	6	122	11	14	53	9
OTU_11424	2	13	5	6	1	4	7	8	7	7	5	5	1	5	0	7	5	2	6	6	2	0	2	1	5	192	2	1	51	2
OTU_8327	18	15	19	31	22	16	13	10	6	6	9	12	4	3	1	1	3	4	5	7	9	3	6	8	13	31	16	11	36	15
OTU_9756	7	17	15	11	10	10	11	9	13	14	2	10	2	3	3	3	6	5	6	7	10	1	7	7	2	38	40	29	35	23
OTU_8685	22	24	23	38	33	20	5	10	2	1	1	9	5	3	3	3	3	3	2	6	4	0	0	3	21	26	23	21	20	20
OTU_13965	6	8	6	24	11	9	35	18	17	25	21	8	0	2	1	0	0	2	0	0	0	0	1	1	6	32	20	7	48	50
OTU_13346	0	1	3	5	2	2	51	50	69	51	42	35	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2	2	4
OTU_8610	13	14	16	9	6	6	1	1	2	0	2	1	2	27	0	38	43	3	4	4	25	6	5	4	46	11	8	12	29	9
OTU_127	32	23	45	4	4	27	2	2	3	2	1	4	1	2	1	3	2	1	13	7	9	6	13	12	40	10	9	8	40	12
OTU_10400	19	22	16	27	33	20	3	4	5	2	1	2	2	9	2	2	2	1	1	3	3	1	0	3	35	54	15	14	36	21
OTU_8482	10	13	3	76	13	5	4	9	6	9	0	7	2	1	2	3	3	2	3	6	3	0	4	6	1	17	15	13	87	26
OTU_9098	13	17	12	17	9	11	16	13	8	9	1	20	5	4	4	8	1	4	1	9	5	1	2	6	12	32	21	14	36	31
OTU_8239	6	9	20	29	17	11	12	10	7	8	1	18	3	2	4	3	1	1	2	4	4	1	3	1	16	40	24	29	34	36
OTU_52	3	10	13	15	4	4	14	14	4	10	5	19	12	3	2	2	2	2	1	6	4	1	2	5	15	53	29	19	23	53
OTU_4809	5	2	8	44	3	7	8	3	1	4	2	2	1	1	0	0	0	0	0	0	0	1	0	0	3	187	14	17	11	36
OTU_12466	9	12	26	18	35	37	8	51	5	4	1	35	4	3	1	2	3	1	1	2	5	1	1	1	12	25	11	13	9	11
OTU_11074	27	21	13	41	32	29	5	4	4	4	0	16	2	1	1	1	2	2	4	10	4	15	4	8	14	37	12	17	10	8
OTU_4505	17	23	52	6	18	19	5	2	1	1	0	13	0	1	1	1	1	2	1	2	3	0	0	2	13	10	38	77	30	18
OTU_10466	38	35	29	49	62	27	3	2	0	1	1	8	4	2	1	1	1	1	3	4	4	2	2	2	18	11	14	8	12	10
OTU_4535	0	34	0	1	27	1	13	1	1	6	0	6	0	10	6	7	0	3	1	1	10	0	0	1	1	149	1	6	57	5
OTU_4573	12	31	48	8	20	12	8	3	1	4	0	7	0	2	2	3	1	1	1	1	1	0	0	1	7	25	43	66	35	11
OTU_6690	0	0	0	0	0	0	0	0	0	1	0	0	8	1	2	7	1	2	13	10	11	243	6	23	0	5	1	0	0	0
OTU_3654	20	24	54	4	17	18	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	17	14	46	91	29	10
OTU_11532	9	12	35	56	50	2	12	6	7	8	7	3	0	0	0	1	1	0	0	1	1	0	0	0	4	27	23	18	26	35
OTU_3795	13	17	48	8	14	13	3	3	12	4	1	6	0	8	0	20	1	0	0	2	2	0	1	1	2	22	33	67	34	14
OTU_12047	12	9	15	18	17	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	30	89	42	52	50
OTU_10031	3	3	6	8	4	2	132	11	9	15	0	16	2	1	4	5	1	12	2	4	4	0	3	4	4	20	8	10	19	11
OTU_11282	35	38	32	34	39	59	3	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	10	31	15	21	24	10
OTU_5866	0	0	0	51	7	0	16	20	16	19	48	12	0	0	0	0	0	0	27	17	14	28	16	17	0	10	9	2	2	3
OTU_1603	6	18	4	2	47	8	14	5	7	7	7	2	11	5	6	14	6	6	6	3	1	9	4	9	17	10	15	16	42	37
OTU_3170	2	1	1	2	2	3	5	5	2	2	5	11	6	6	8	5	7	9	10	5	7	14	11	10	2	188	4	9	4	2
OTU_8374	19	9	11	10	20	10	5	14	4	3	8	9	4	4	1	0	3	4	1	15	7	2	2	4	57	29	7	9	53	16
OTU_7557	12	18	38	17	8	10	5	3	3	7	2	4	1	0	2	1	0	1	0	1	1	1	1	1	1	63	42	57	39	23
OTU_10508	26	16	17	27	34	15	2	6	6	1	2	11	4	5	3	1	4	1	6	8	5	3	4	4	33	29	13	21	18	17
OTU_4549	4	18	6	6	24	6	9	2	1	9	0	8	1	12	4	8	1	2	2	1	7	0	0	1	10	115	9	22	42	17
OTU_8434	11	28	33	8	13	15	3	1	1	3	5	4	11	2	3	2	4	2	10	8	7	9	8	9	7	32	19	17	29	29
OTU_11280	42	39	41	35	40	56	2	1	2	1	5	3	0	0	0	0	0	0	0	3	0	0	0	0	14	7	16	16	18	7
OTU_6513	28	25	6	34	35	23	1	1	1	4	4	2	0	0	1	0	1	1	0	0	1	2	0	0	9	52	69	22	4	22
OTU_10660	30	27	22	35	53	28	1	2	3	4	1	3	4	2	1	1	1	1	1	3	3	1	3	1	29	39	13	14	18	14
OTU_11154	44	18	10	47	14	29	4	18	15	25	4	25	4	1	0	1	2	1	0	2	3	1	0	0	34	15	4	4	16	2
OTU_4626	6	8	6	4	14	7	6	3	1	2	0	7	1	3	1	0	0	1	0	15	3	0	1	1	11	49	13	21	94	74
OTU_11112	48	64	15	38	9	13	5	19	12	19	4	12	4	0	0	0	1	1	1	15	2	0	1	4	6	18	3	3	6	9
OTU_13360	33	16	30	12	5	10	0	3	2	1	1	3	2	1	0	0	3	2	3	14	18	8	1	2	37	9	32	11	70	14
OTU_4538	6	24	6	6	18	7	9	4	3	5	0	4	0	4	2	5	1	2	0	1	13	0	0	1	17	105	12	27	41	19
OTU_14836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	216	0
OTU_1112	8	9	2	5	6	1	10	10	10	13	44	33	14	2	1	5	2	1	10	4	2	41	3	15	47	6	3	7	5	4
OTU_10260	19	17	14	25	23	12	2	5	3	4	0	4	1	0	1	1	2	1	2	2	5	0	1	2	35	62	7	30	20	43
OTU_11525	15	15	13	18	18	21	10	10	11	7	6	7	3	3	4	5	22	2	9	9	14	2	3	3	14	48	11	10	16	10
OTU_7419	15	22	26	1	1	10	1	0	0	0	0	4	3	17	1	38	45	4	5	6	24	7	7	7	21	6	4	7	33	4
OTU_3462	4	2	11	16	4	7	17	16	7	3	0	16	0	3	2	1	1	3	1	5	4	0	0	2	2	60	19	34	49	47
OTU_11613	32	40	33	37	41	54	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	12	19	15	25	26	10
OTU_10143	18	15	32	28	26	32	1	2	3	3	0	5	1	2	1	1	1	3	1	5	3	0	3	4	7	22	23	41	42	21
OTU_10633	30	34	18	45	57	24	2	1	1	2	2	0	2	1	1	1	1	2	2	5	3	0	1	0	29	26	13	11	16	12
OTU_1561	1	0	0	0	2	3	10	13	14	9	24	21	22	18	17	30	13	15	3	1	0	26	5	7	49	1	3	0	5	4
OTU_10064	4	8	18	25	14	8	42	10	17	13	5	22	0	2	2	4	2	5	1	5	6	0	2	2	2	18	22	17	36	23
OTU_8193	42	29	22	32	51	23	1	0	3	1	0	5	3	1	1	2	4	2	1	7	4	3	2	1	18	14	15	25	27	10
OTU_10723	26	17	17	32	43	12	5	1	1	16	3	14	0	2	3	2	6	1	4	5	4	3	4	2	38	26	18	15	5	12
OTU_1212	13	1	3	1	2	3	1	0	1	0	1	9	51	24	28	39	24	21	1	0	1	23	0	9	46	1	2	4	0	3
OTU_11866	12	6	25	20	18	17	5	0	0	1	0	9	0	0	0	0	1	0	1	5	7	0	0	1	1	20	86	26	52	31
OTU_3125	2	1	1	9	3	0	1	2	1	0	4	6	5	4	6	1	4	6	4	3	5	3	7	7	1	238	4	9	2	5
